"TestName","ApiUrl","Endpoint","Method","Payload","ExpectedStatus","ActualStatus","ResponseBody","Result","Auth","Headers","Critical"
"Success","https://zineup-api.codesncoffee.com/api/v1/user/verify-otp","/user/verify-otp","POST","{ ""email"": ""prakash@codesncoffee.com""; ""otp"": 123456 }","200","200","{""status"":""success"";""code"":200;""error"":false;""data"":{""id"":24;""userProfileUrl"":""sssss"";""name"":""prakash"";""email"":""prakash@codesncoffee.com"";""x-zine-token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MjQsIm5hbWUiOiJwcmFrYXNoIiwiZW1haWwiOiJwcmFrYXNoQGNvZGVzbmNvZmZlZS5jb20iLCJpYXQiOjE3MzM0MDUyNzEsImV4cCI6MTc2NDk2Mjg3MX0.ZIvU4IKeG4V97n6W6l6P8t0E29Slrl2lAHTRtnDPEgg""};""message"":""OTP verified successfully.""}","Pass","0","Content-Type: application/json, Accept: */*","1"
"Invalid OTP","https://zineup-api.codesncoffee.com/api/v1/user/verify-otp","/user/verify-otp","POST","{ ""email"": ""prakash@codesncoffee.com""; ""otp"": 222202 }","401","401","{""status"":""failed"";""code"":401;""error"":true;""data"":[];""message"":""Invalid Otp""}","Pass","0","Content-Type: application/json, Accept: */*","1"
"Missing Field","https://zineup-api.codesncoffee.com/api/v1/user/verify-otp","/user/verify-otp","POST","{ ""email"": ""prakash@codesncoffee.com""; ""otp"":"""" }","400","400","{""status"":""failed"";""code"":400;""error"":true;""data"":[];""message"":""Otp is required.""}","Pass","0","Content-Type: application/json, Accept: */*","1"
"Send OTP For Registration","https://zineup-api.codesncoffee.com/api/v1/user/register-user","/user/register-user","POST","{ ""name"": ""Prakash""; ""email"": ""prakash+23@codesncoffee.com"" }","201","409","{""status"":""failed"";""code"":409;""error"":true;""data"":[];""message"":""Email already exists""}","Fail","0","Content-Type: application/json, Accept: */*","0"
"Email Already Exists","https://zineup-api.codesncoffee.com/api/v1/user/register-user","/user/register-user","POST","{ ""name"": ""Prakash""; ""email"": ""prakash+4@codesncoffee.com"" }","409","409","{""status"":""failed"";""code"":409;""error"":true;""data"":[];""message"":""Email already exists""}","Pass","0","Content-Type: application/json, Accept: */*","1"
"Missing Field","https://zineup-api.codesncoffee.com/api/v1/user/register-user","/user/register-user","POST","{ ""name"": ""Prakash""; ""email"": """" }","400","400","{""status"":""failed"";""code"":400;""error"":true;""data"":[];""message"":""email is required""}","Pass","0","Content-Type: application/json, Accept: */*","1"
"Send OTP For Login","https://zineup-api.codesncoffee.com/api/v1/user/login","/user/login","POST","{ ""email"": ""prakash@codesncoffee.com"" }","200","200","{""status"":""success"";""code"":200;""error"":false;""data"":[];""message"":""Check your email for OTP to Signin.""}","Pass","0","Content-Type: application/json, Accept: */*","1"
"Missing Field","https://zineup-api.codesncoffee.com/api/v1/user/login","/user/login","POST","{ ""email"": """" }","400","400","{""status"":""failed"";""code"":400;""error"":true;""data"":[];""message"":""Email is required.""}","Pass","0","Content-Type: application/json, Accept: */*","1"
"Email Not Found","https://zineup-api.codesncoffee.com/api/v1/user/login","/user/login","POST","{ ""email"": ""example@gmail.com"" }","404","404","{""status"":""failed"";""code"":404;""error"":true;""data"":[];""message"":""User not found""}","Pass","0","Content-Type: application/json, Accept: */*","1"
"User Fetched Successfully","https://zineup-api.codesncoffee.com/api/v1/user/get-user","/user/get-user","GET","","200","200","{""status"":""success"";""code"":200;""error"":false;""data"":{""id"":24;""name"":""prakash"";""userProfileUrl"":""sssss"";""publicationName"":""prakash1"";""publicationHandleName"":""prakash1"";""email"":""prakash@codesncoffee.com"";""contact"":""1234567890"";""otp"":208952;""createdOn"":""2024-11-05T07:34:27.000Z"";""updatedOn"":""2024-12-05T13:18:57.000Z"";""block"":0;""blockedOn"":""2024-11-21T13:16:41.000Z"";""deActivate"":0;""deActivatedOn"":null;""activatedOn"":null};""message"":""User fetched successfully""}","Pass","1","Content-Type: application/json, Accept: */*, x-zine-token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MjQsIm5hbWUiOiJwcmFrYXNoIiwiZW1haWwiOiJwcmFrYXNoQGNvZGVzbmNvZmZlZS5jb20iLCJpYXQiOjE3MzM0MDUyNzEsImV4cCI6MTc2NDk2Mjg3MX0.ZIvU4IKeG4V97n6W6l6P8t0E29Slrl2lAHTRtnDPEgg","1"
"Authorization Denied","https://zineup-api.codesncoffee.com/api/v1/user/get-user","/user/get-user","GET","","401","401","{""status"":""failed"";""code"":401;""error"":true;""data"":[];""message"":""No token; authorization denied""}","Pass","NA","Content-Type: application/json, Accept: */*","1"
"User Updated Successfully","https://zineup-api.codesncoffee.com/api/v1/user/update-user","/user/update-user","PATCH","{ ""name"": ""prakash"", ""contact"": 1234567890 ,""user_profile"":""https://picsum.photos/200/300.jpg"" }","200","200","{""status"":""success"";""code"":200;""error"":false;""data"":[];""message"":""User updated successfully""}","Pass","1","Content-Type: application/json, Accept: */*, x-zine-token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MjQsIm5hbWUiOiJwcmFrYXNoIiwiZW1haWwiOiJwcmFrYXNoQGNvZGVzbmNvZmZlZS5jb20iLCJpYXQiOjE3MzM0MDUyNzEsImV4cCI6MTc2NDk2Mjg3MX0.ZIvU4IKeG4V97n6W6l6P8t0E29Slrl2lAHTRtnDPEgg","1"
"Authorization Denied","https://zineup-api.codesncoffee.com/api/v1/user/update-user","/user/update-user","PATCH","{ ""name"": ""prakash"", ""contact"": 1234567890 ,""user_profile"":""https://picsum.photos/200/300.jpg"" }","401","401","{""status"":""failed"";""code"":401;""error"":true;""data"":[];""message"":""No token; authorization denied""}","Pass","NA","Content-Type: application/json, Accept: */*","1"
"Update Unsuccessful","https://zineup-api.codesncoffee.com/api/v1/user/update-user","/user/update-user","PATCH","{ ""name"": """", ""contact"": """" ,""user_profile"":"""" }","400","400","{""status"":""failed"";""code"":400;""error"":true;""data"":[];""message"":""Name cannot be null or empty.""}","Pass","1","Content-Type: application/json, Accept: */*, x-zine-token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MjQsIm5hbWUiOiJwcmFrYXNoIiwiZW1haWwiOiJwcmFrYXNoQGNvZGVzbmNvZmZlZS5jb20iLCJpYXQiOjE3MzM0MDUyNzEsImV4cCI6MTc2NDk2Mjg3MX0.ZIvU4IKeG4V97n6W6l6P8t0E29Slrl2lAHTRtnDPEgg","1"
